140 2
100 200 !
300 50 !
650 400 @
400 520 @
330 210 @
90 647 #
610 572 $
280 647 #
450 647 #
630 647 #
730 647 #
920 647 #
1110 647 #
610 575 $
932 570 *
1000 570 *
1145 580 #
100 572 $
200 572 $
300 572 $
400 572 $
500 572 $
700 105 $
790 105 $
870 105 $
1155 110 +
1110 180 #
918 180 #
100 350 -
500 400 -
660 462 =
400 360 =
100 200 !
300 50 !
610 572 $
100 572 $
200 572 $
300 572 $
400 572 $
500 572 $
700 105 $
790 105 $
870 105 $
1078 180 #
820 180 #
20 540 /
660 462 =
400 360 =
900 400 ?
1100 500 ?
1000 300 >
800 200 >
600 500 <
100 500 &
